[2024-05-01 14:42:36,008: INFO: main: Welcome to our custom log]
[2024-05-19 14:58:34,806: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-19 14:58:34,829: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-19 14:58:34,833: INFO: common: created directory at: artifacts]
[2024-05-19 14:58:34,839: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-19 14:58:34,845: INFO: 2677270031: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-19 14:58:46,380: INFO: 2677270031: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-19 15:46:10,423: INFO: main: >>>>>> stage Data Injestion stage started <<<<<<]
[2024-05-19 15:46:10,442: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-19 15:46:10,446: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-19 15:46:10,447: INFO: common: created directory at: artifacts]
[2024-05-19 15:46:10,451: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-19 15:46:10,453: INFO: data_injestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-19 15:46:21,515: INFO: data_injestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-19 15:46:25,086: INFO: main: >>>>>> stage Data Injestion stage completed <<<<<<

x==========x]
[2024-07-14 17:35:09,593: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-14 17:35:09,624: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-14 17:35:09,630: INFO: common: created directory at: artifacts]
[2024-07-14 17:52:01,866: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-14 17:52:01,884: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-14 17:52:01,888: INFO: common: created directory at: artifacts]
[2024-07-14 17:52:55,358: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-14 17:52:55,361: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-14 17:52:55,361: INFO: common: created directory at: artifacts]
[2024-07-14 17:53:02,301: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-14 17:53:02,304: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-14 17:53:02,305: INFO: common: created directory at: artifacts]
[2024-07-14 17:56:07,809: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-14 17:56:07,811: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-14 17:56:07,812: INFO: common: created directory at: artifacts]
